edge_id:int,source_id:int,target_id:int,label_id:int
1671790,620990,949,48
1688166,626487,56958,48
1688167,626487,2632,49
1708073,633118,949,48
1713065,634621,257,48
1713066,634621,9854,49
1731612,640634,949,48
1741689,643827,257,48
1741690,643827,65859,49
2138070,643828,257,48
2138071,643828,65859,49
1752970,647675,257,48
1752971,647675,258,49
1760926,650284,949,48
1787830,659246,257,48
1787831,659246,34420,49
1798227,662328,56958,48
1798233,662328,2872,49
1798228,662328,662329,49
17425118,662329,56958,48
17425119,662329,2872,49
13277246,662330,56958,48
13277249,662330,2872,49
13277248,662330,662329,49
13277247,662330,875293,49
14886817,662332,56958,48
14886818,662332,662329,49
14886821,662332,2872,49
1798433,662333,56958,48
1798434,662333,662329,49
1798438,662333,2872,49
1801215,663338,949,48
6386108,663339,949,48
5100087,663340,949,48
6510708,663341,949,48
1805013,664722,56958,48
1805014,664722,70579,49
1827867,671801,257,48
1827868,671801,258,49
1844305,677222,257,48
1844306,677222,258,49
1871463,686151,257,48
1871464,686151,258,49
1871631,686233,257,48
1871632,686233,258,49
1882735,689676,257,48
1882736,689676,52747,49
1901607,696056,44390,48
1926569,696057,44390,49
1926568,696057,149070,49
1901993,696179,6526,48
12709244,696180,6526,48
1910200,698819,2632,49
1910205,698819,2634,48
1910230,698827,56958,48
6687182,698828,2634,48
1912122,699431,257,48
1917332,701037,2632,49
